Food_ID,Name,C_Type,Veg_Non,Describe,combined_features
1522,Chickpeas Fried rice,American,Veg,chickpeas pasta ginger tomato peas butter soy sauce cumin,Chickpeas Fried rice chickpeas pasta ginger tomato peas butter soy sauce cumin
1523,Tofu Fried rice,Mexican,Veg,tofu wrap carrot tomato peas chili pepper olive oil,Tofu Fried rice tofu wrap carrot tomato peas chili pepper olive oil
1524,Potato Curry,Thai,Veg,potato pasta capsicum spinach garlic chili coriander butter,Potato Curry potato pasta capsicum spinach garlic chili coriander butter
1525,Prawn Masala,Japanese,Non-Veg,prawn pasta peas spinach onion chili butter pepper,Prawn Masala prawn pasta peas spinach onion chili butter pepper
1526,Chickpeas Fried rice,American,Veg,chickpeas pasta garlic ginger carrot olive oil butter cumin,Chickpeas Fried rice chickpeas pasta garlic ginger carrot olive oil butter cumin
1527,Paneer Curry,Thai,Veg,paneer bread ginger tomato spinach soy sauce salt coriander,Paneer Curry paneer bread ginger tomato spinach soy sauce salt coriander
1528,Mushroom Soup,Chinese,Veg,mushroom wrap garlic peas capsicum coriander pepper soy sauce,Mushroom Soup mushroom wrap garlic peas capsicum coriander pepper soy sauce
1529,Paneer Soup,Chinese,Veg,paneer salad onion tomato carrot coriander pepper butter,Paneer Soup paneer salad onion tomato carrot coriander pepper butter
1530,Egg Noodle bowl,Italian,Non-Veg,egg wrap spinach ginger capsicum pepper turmeric salt,Egg Noodle bowl egg wrap spinach ginger capsicum pepper turmeric salt
1531,Mushroom Gravy,Mexican,Veg,mushroom noodles carrot onion ginger cumin chili olive oil,Mushroom Gravy mushroom noodles carrot onion ginger cumin chili olive oil
1532,Potato Biryani,Thai,Veg,potato wrap peas ginger tomato pepper chili olive oil,Potato Biryani potato wrap peas ginger tomato pepper chili olive oil
1533,Beans Masala,Mediterranean,Veg,beans wrap spinach ginger carrot pepper butter salt,Beans Masala beans wrap spinach ginger carrot pepper butter salt
1534,Paneer Noodle bowl,Japanese,Veg,paneer soup onion peas capsicum cumin butter olive oil,Paneer Noodle bowl paneer soup onion peas capsicum cumin butter olive oil
1535,Mutton Soup,Thai,Non-Veg,mutton pasta garlic tomato onion coriander cumin butter,Mutton Soup mutton pasta garlic tomato onion coriander cumin butter
1536,Egg Soup,Italian,Non-Veg,egg wrap ginger onion capsicum chili salt butter,Egg Soup egg wrap ginger onion capsicum chili salt butter
1537,Fish Soup,Mediterranean,Non-Veg,fish rice spinach peas onion coriander soy sauce chili,Fish Soup fish rice spinach peas onion coriander soy sauce chili
1538,Mushroom Stir fry,Indian,Veg,mushroom pasta onion spinach ginger butter turmeric pepper,Mushroom Stir fry mushroom pasta onion spinach ginger butter turmeric pepper
1539,Mutton Soup,Italian,Non-Veg,mutton rice carrot tomato onion cumin salt butter,Mutton Soup mutton rice carrot tomato onion cumin salt butter
1540,Fish Stir fry,Mexican,Non-Veg,fish noodles garlic capsicum spinach cumin olive oil chili,Fish Stir fry fish noodles garlic capsicum spinach cumin olive oil chili
1541,Tofu Soup,Thai,Veg,tofu noodles peas capsicum garlic pepper soy sauce olive oil,Tofu Soup tofu noodles peas capsicum garlic pepper soy sauce olive oil
1542,Mushroom Soup,American,Veg,mushroom pasta garlic peas capsicum cumin pepper coriander,Mushroom Soup mushroom pasta garlic peas capsicum cumin pepper coriander
1543,Mushroom Pasta bowl,Mexican,Veg,mushroom noodles garlic onion spinach salt cumin turmeric,Mushroom Pasta bowl mushroom noodles garlic onion spinach salt cumin turmeric
1544,Egg Masala,Thai,Non-Veg,egg bread capsicum ginger carrot chili salt coriander,Egg Masala egg bread capsicum ginger carrot chili salt coriander
1545,Mutton Curry,Mediterranean,Non-Veg,mutton soup tomato carrot ginger turmeric pepper soy sauce,Mutton Curry mutton soup tomato carrot ginger turmeric pepper soy sauce
1546,Potato Gravy,Indian,Veg,potato bread peas onion capsicum pepper turmeric cumin,Potato Gravy potato bread peas onion capsicum pepper turmeric cumin
1547,Egg Soup,Mediterranean,Non-Veg,egg bread garlic ginger capsicum soy sauce pepper salt,Egg Soup egg bread garlic ginger capsicum soy sauce pepper salt
1548,Beans Fried rice,Mediterranean,Veg,beans rice garlic ginger carrot butter soy sauce pepper,Beans Fried rice beans rice garlic ginger carrot butter soy sauce pepper
1549,Fish Gravy,Chinese,Non-Veg,fish soup peas spinach ginger coriander cumin pepper,Fish Gravy fish soup peas spinach ginger coriander cumin pepper
1550,Paneer Stir fry,Thai,Veg,paneer wrap carrot onion ginger turmeric pepper cumin,Paneer Stir fry paneer wrap carrot onion ginger turmeric pepper cumin
1551,Egg Masala,Japanese,Non-Veg,egg soup garlic peas capsicum olive oil coriander chili,Egg Masala egg soup garlic peas capsicum olive oil coriander chili
1552,Fish Gravy,Mexican,Non-Veg,fish bread spinach peas garlic salt butter chili,Fish Gravy fish bread spinach peas garlic salt butter chili
1553,Egg Fried rice,Mediterranean,Non-Veg,egg soup spinach capsicum ginger cumin salt chili,Egg Fried rice egg soup spinach capsicum ginger cumin salt chili
1554,Tofu Stir fry,Italian,Veg,tofu bread garlic capsicum peas cumin salt pepper,Tofu Stir fry tofu bread garlic capsicum peas cumin salt pepper
1555,Mutton Stir fry,Mediterranean,Non-Veg,mutton bread spinach onion carrot turmeric chili salt,Mutton Stir fry mutton bread spinach onion carrot turmeric chili salt
1556,Prawn Noodle bowl,Chinese,Non-Veg,prawn noodles garlic tomato ginger cumin turmeric salt,Prawn Noodle bowl prawn noodles garlic tomato ginger cumin turmeric salt
1557,Egg Curry,American,Non-Veg,egg salad garlic spinach carrot soy sauce cumin salt,Egg Curry egg salad garlic spinach carrot soy sauce cumin salt
1558,Paneer Masala,Mediterranean,Veg,paneer wrap peas tomato ginger coriander cumin pepper,Paneer Masala paneer wrap peas tomato ginger coriander cumin pepper
1559,Potato Soup,Indian,Veg,potato noodles ginger capsicum carrot cumin salt chili,Potato Soup potato noodles ginger capsicum carrot cumin salt chili
1560,Lentils Curry,Chinese,Veg,lentils pasta tomato capsicum garlic cumin pepper soy sauce,Lentils Curry lentils pasta tomato capsicum garlic cumin pepper soy sauce
1561,Potato Stir fry,Thai,Veg,potato salad ginger spinach carrot butter olive oil turmeric,Potato Stir fry potato salad ginger spinach carrot butter olive oil turmeric
1562,Beans Noodle bowl,American,Veg,beans salad carrot ginger spinach salt butter cumin,Beans Noodle bowl beans salad carrot ginger spinach salt butter cumin
1563,Paneer Fried rice,American,Veg,paneer noodles garlic spinach tomato butter turmeric pepper,Paneer Fried rice paneer noodles garlic spinach tomato butter turmeric pepper
1564,Mutton Curry,Mediterranean,Non-Veg,mutton rice peas onion garlic cumin chili soy sauce,Mutton Curry mutton rice peas onion garlic cumin chili soy sauce
1565,Chicken Curry,Japanese,Non-Veg,chicken wrap tomato onion capsicum olive oil butter chili,Chicken Curry chicken wrap tomato onion capsicum olive oil butter chili
1566,Chicken Soup,Mediterranean,Non-Veg,chicken noodles tomato onion garlic coriander salt turmeric,Chicken Soup chicken noodles tomato onion garlic coriander salt turmeric
1567,Fish Pasta bowl,Chinese,Non-Veg,fish noodles tomato capsicum ginger cumin turmeric pepper,Fish Pasta bowl fish noodles tomato capsicum ginger cumin turmeric pepper
1568,Mushroom Gravy,American,Veg,mushroom wrap ginger tomato garlic coriander pepper olive oil,Mushroom Gravy mushroom wrap ginger tomato garlic coriander pepper olive oil
1569,Mushroom Biryani,Italian,Veg,mushroom soup onion capsicum carrot turmeric cumin butter,Mushroom Biryani mushroom soup onion capsicum carrot turmeric cumin butter
1570,Chicken Noodle bowl,Italian,Non-Veg,chicken bread ginger carrot peas chili salt coriander,Chicken Noodle bowl chicken bread ginger carrot peas chili salt coriander
1571,Mutton Masala,Mexican,Non-Veg,mutton rice capsicum ginger tomato soy sauce olive oil chili,Mutton Masala mutton rice capsicum ginger tomato soy sauce olive oil chili
1572,Prawn Pasta bowl,Thai,Non-Veg,prawn rice spinach capsicum carrot chili pepper turmeric,Prawn Pasta bowl prawn rice spinach capsicum carrot chili pepper turmeric
1573,Potato Gravy,American,Veg,potato pasta peas ginger capsicum olive oil coriander soy sauce,Potato Gravy potato pasta peas ginger capsicum olive oil coriander soy sauce
1574,Egg Soup,Indian,Non-Veg,egg salad peas carrot onion turmeric coriander salt,Egg Soup egg salad peas carrot onion turmeric coriander salt
1575,Beans Biryani,Mediterranean,Veg,beans bread capsicum garlic onion butter soy sauce turmeric,Beans Biryani beans bread capsicum garlic onion butter soy sauce turmeric
1576,Chicken Gravy,Japanese,Non-Veg,chicken noodles garlic peas spinach salt turmeric coriander,Chicken Gravy chicken noodles garlic peas spinach salt turmeric coriander
1577,Chicken Soup,Italian,Non-Veg,chicken salad tomato onion ginger butter coriander turmeric,Chicken Soup chicken salad tomato onion ginger butter coriander turmeric
1578,Chicken Curry,Chinese,Non-Veg,chicken salad carrot peas ginger butter pepper salt,Chicken Curry chicken salad carrot peas ginger butter pepper salt
1579,Tofu Stir fry,American,Veg,tofu soup onion tomato capsicum cumin olive oil chili,Tofu Stir fry tofu soup onion tomato capsicum cumin olive oil chili
1580,Mutton Masala,Indian,Non-Veg,mutton pasta tomato capsicum spinach chili butter salt,Mutton Masala mutton pasta tomato capsicum spinach chili butter salt
1581,Lentils Fried rice,American,Veg,lentils noodles capsicum carrot tomato turmeric olive oil cumin,Lentils Fried rice lentils noodles capsicum carrot tomato turmeric olive oil cumin
1582,Lentils Fried rice,Japanese,Veg,lentils soup peas onion carrot butter olive oil cumin,Lentils Fried rice lentils soup peas onion carrot butter olive oil cumin
1583,Paneer Biryani,Thai,Veg,paneer salad garlic peas tomato cumin butter pepper,Paneer Biryani paneer salad garlic peas tomato cumin butter pepper
1584,Potato Pasta bowl,Italian,Veg,potato salad ginger capsicum peas salt olive oil coriander,Potato Pasta bowl potato salad ginger capsicum peas salt olive oil coriander
1585,Beans Biryani,Chinese,Veg,beans salad peas tomato capsicum butter pepper soy sauce,Beans Biryani beans salad peas tomato capsicum butter pepper soy sauce
1586,Beans Stir fry,Chinese,Veg,beans pasta capsicum carrot onion soy sauce salt cumin,Beans Stir fry beans pasta capsicum carrot onion soy sauce salt cumin
1587,Chicken Soup,Mediterranean,Non-Veg,chicken pasta tomato peas garlic olive oil salt pepper,Chicken Soup chicken pasta tomato peas garlic olive oil salt pepper
1588,Paneer Stir fry,Chinese,Veg,paneer noodles peas onion garlic butter chili pepper,Paneer Stir fry paneer noodles peas onion garlic butter chili pepper
1589,Egg Gravy,American,Non-Veg,egg noodles garlic ginger capsicum soy sauce olive oil turmeric,Egg Gravy egg noodles garlic ginger capsicum soy sauce olive oil turmeric
1590,Beans Gravy,American,Veg,beans wrap peas garlic capsicum turmeric salt butter,Beans Gravy beans wrap peas garlic capsicum turmeric salt butter
1591,Potato Pasta bowl,Japanese,Veg,potato noodles spinach carrot capsicum salt turmeric soy sauce,Potato Pasta bowl potato noodles spinach carrot capsicum salt turmeric soy sauce
1592,Prawn Noodle bowl,Mexican,Non-Veg,prawn salad ginger carrot onion cumin chili soy sauce,Prawn Noodle bowl prawn salad ginger carrot onion cumin chili soy sauce
1593,Prawn Noodle bowl,Chinese,Non-Veg,prawn pasta capsicum tomato spinach olive oil pepper chili,Prawn Noodle bowl prawn pasta capsicum tomato spinach olive oil pepper chili
1594,Potato Soup,Chinese,Veg,potato pasta onion tomato carrot chili butter turmeric,Potato Soup potato pasta onion tomato carrot chili butter turmeric
1595,Mushroom Pasta bowl,Japanese,Veg,mushroom rice onion ginger garlic olive oil turmeric coriander,Mushroom Pasta bowl mushroom rice onion ginger garlic olive oil turmeric coriander
1596,Tofu Noodle bowl,Indian,Veg,tofu noodles ginger onion carrot cumin pepper soy sauce,Tofu Noodle bowl tofu noodles ginger onion carrot cumin pepper soy sauce
1597,Prawn Curry,Italian,Non-Veg,prawn salad garlic spinach carrot salt chili cumin,Prawn Curry prawn salad garlic spinach carrot salt chili cumin
1598,Mushroom Curry,Italian,Veg,mushroom soup capsicum garlic peas coriander butter pepper,Mushroom Curry mushroom soup capsicum garlic peas coriander butter pepper
1599,Paneer Biryani,Japanese,Veg,paneer wrap peas garlic spinach soy sauce olive oil butter,Paneer Biryani paneer wrap peas garlic spinach soy sauce olive oil butter
1600,Lentils Curry,Chinese,Veg,lentils noodles carrot garlic spinach salt soy sauce coriander,Lentils Curry lentils noodles carrot garlic spinach salt soy sauce coriander
1601,Prawn Noodle bowl,Italian,Non-Veg,prawn wrap spinach garlic peas butter soy sauce turmeric,Prawn Noodle bowl prawn wrap spinach garlic peas butter soy sauce turmeric
1602,Beans Biryani,Japanese,Veg,beans rice garlic onion spinach pepper coriander turmeric,Beans Biryani beans rice garlic onion spinach pepper coriander turmeric
1603,Potato Gravy,Indian,Veg,potato soup spinach ginger tomato soy sauce butter salt,Potato Gravy potato soup spinach ginger tomato soy sauce butter salt
1604,Prawn Masala,Thai,Non-Veg,prawn soup spinach tomato carrot chili salt butter,Prawn Masala prawn soup spinach tomato carrot chili salt butter
1605,Paneer Gravy,Italian,Veg,paneer wrap tomato garlic carrot coriander olive oil butter,Paneer Gravy paneer wrap tomato garlic carrot coriander olive oil butter
1606,Egg Soup,American,Non-Veg,egg soup onion carrot spinach turmeric soy sauce coriander,Egg Soup egg soup onion carrot spinach turmeric soy sauce coriander
1607,Prawn Biryani,Mediterranean,Non-Veg,prawn soup tomato ginger peas pepper turmeric cumin,Prawn Biryani prawn soup tomato ginger peas pepper turmeric cumin
1608,Mutton Biryani,Mediterranean,Non-Veg,mutton wrap garlic capsicum spinach olive oil cumin soy sauce,Mutton Biryani mutton wrap garlic capsicum spinach olive oil cumin soy sauce
1609,Potato Stir fry,Indian,Veg,potato pasta carrot peas onion butter olive oil coriander,Potato Stir fry potato pasta carrot peas onion butter olive oil coriander
1610,Egg Pasta bowl,Mexican,Non-Veg,egg pasta onion peas spinach soy sauce chili butter,Egg Pasta bowl egg pasta onion peas spinach soy sauce chili butter
1611,Egg Noodle bowl,Italian,Non-Veg,egg noodles peas garlic ginger pepper cumin turmeric,Egg Noodle bowl egg noodles peas garlic ginger pepper cumin turmeric
1612,Chicken Stir fry,American,Non-Veg,chicken soup peas onion capsicum olive oil turmeric chili,Chicken Stir fry chicken soup peas onion capsicum olive oil turmeric chili
1613,Chickpeas Fried rice,Thai,Veg,chickpeas wrap peas spinach ginger olive oil coriander turmeric,Chickpeas Fried rice chickpeas wrap peas spinach ginger olive oil coriander turmeric
1614,Fish Stir fry,Thai,Non-Veg,fish soup spinach tomato garlic salt soy sauce coriander,Fish Stir fry fish soup spinach tomato garlic salt soy sauce coriander
1615,Potato Curry,Indian,Veg,potato soup capsicum carrot tomato butter coriander pepper,Potato Curry potato soup capsicum carrot tomato butter coriander pepper
1616,Paneer Noodle bowl,Japanese,Veg,paneer noodles carrot spinach ginger butter coriander olive oil,Paneer Noodle bowl paneer noodles carrot spinach ginger butter coriander olive oil
1617,Lentils Noodle bowl,Chinese,Veg,lentils soup ginger spinach garlic pepper olive oil turmeric,Lentils Noodle bowl lentils soup ginger spinach garlic pepper olive oil turmeric
1618,Mushroom Gravy,Japanese,Veg,mushroom bread tomato capsicum spinach salt olive oil soy sauce,Mushroom Gravy mushroom bread tomato capsicum spinach salt olive oil soy sauce
1619,Paneer Pasta bowl,American,Veg,paneer pasta garlic carrot onion butter chili pepper,Paneer Pasta bowl paneer pasta garlic carrot onion butter chili pepper
1620,Prawn Curry,Indian,Non-Veg,prawn pasta onion spinach capsicum salt cumin coriander,Prawn Curry prawn pasta onion spinach capsicum salt cumin coriander
1621,Chicken Noodle bowl,Chinese,Non-Veg,chicken salad spinach capsicum peas pepper turmeric soy sauce,Chicken Noodle bowl chicken salad spinach capsicum peas pepper turmeric soy sauce
1622,Chickpeas Curry,Indian,Veg,chickpeas salad garlic ginger tomato olive oil soy sauce butter,Chickpeas Curry chickpeas salad garlic ginger tomato olive oil soy sauce butter
1623,Lentils Curry,Chinese,Veg,lentils pasta spinach garlic carrot butter soy sauce cumin,Lentils Curry lentils pasta spinach garlic carrot butter soy sauce cumin
1624,Prawn Pasta bowl,Indian,Non-Veg,prawn salad capsicum onion peas cumin chili olive oil,Prawn Pasta bowl prawn salad capsicum onion peas cumin chili olive oil
1625,Mushroom Pasta bowl,Italian,Veg,mushroom bread onion capsicum carrot pepper soy sauce turmeric,Mushroom Pasta bowl mushroom bread onion capsicum carrot pepper soy sauce turmeric
1626,Mushroom Gravy,American,Veg,mushroom soup ginger peas onion chili cumin turmeric,Mushroom Gravy mushroom soup ginger peas onion chili cumin turmeric
1627,Tofu Fried rice,Mediterranean,Veg,tofu soup peas carrot garlic pepper coriander turmeric,Tofu Fried rice tofu soup peas carrot garlic pepper coriander turmeric
1628,Chicken Gravy,Thai,Non-Veg,chicken rice tomato capsicum onion olive oil soy sauce butter,Chicken Gravy chicken rice tomato capsicum onion olive oil soy sauce butter
1629,Tofu Curry,Italian,Veg,tofu salad spinach ginger tomato soy sauce butter olive oil,Tofu Curry tofu salad spinach ginger tomato soy sauce butter olive oil
1630,Egg Gravy,Thai,Non-Veg,egg salad carrot spinach peas coriander butter soy sauce,Egg Gravy egg salad carrot spinach peas coriander butter soy sauce
1631,Beans Pasta bowl,Japanese,Veg,beans wrap carrot ginger peas salt soy sauce pepper,Beans Pasta bowl beans wrap carrot ginger peas salt soy sauce pepper
1632,Tofu Curry,Indian,Veg,tofu salad capsicum peas spinach salt pepper butter,Tofu Curry tofu salad capsicum peas spinach salt pepper butter
1633,Paneer Stir fry,Mexican,Veg,paneer soup spinach capsicum onion olive oil turmeric coriander,Paneer Stir fry paneer soup spinach capsicum onion olive oil turmeric coriander
1634,Lentils Noodle bowl,Mediterranean,Veg,lentils noodles carrot tomato capsicum cumin pepper soy sauce,Lentils Noodle bowl lentils noodles carrot tomato capsicum cumin pepper soy sauce
1635,Paneer Noodle bowl,Italian,Veg,paneer wrap spinach capsicum onion turmeric cumin chili,Paneer Noodle bowl paneer wrap spinach capsicum onion turmeric cumin chili
1636,Chickpeas Gravy,Mediterranean,Veg,chickpeas rice ginger onion garlic butter salt coriander,Chickpeas Gravy chickpeas rice ginger onion garlic butter salt coriander
1637,Egg Noodle bowl,Thai,Non-Veg,egg pasta capsicum spinach onion turmeric soy sauce chili,Egg Noodle bowl egg pasta capsicum spinach onion turmeric soy sauce chili
1638,Paneer Pasta bowl,Japanese,Veg,paneer salad peas onion garlic pepper coriander cumin,Paneer Pasta bowl paneer salad peas onion garlic pepper coriander cumin
1639,Prawn Biryani,American,Non-Veg,prawn wrap peas carrot garlic cumin chili butter,Prawn Biryani prawn wrap peas carrot garlic cumin chili butter
1640,Mushroom Pasta bowl,American,Veg,mushroom salad capsicum carrot tomato salt olive oil cumin,Mushroom Pasta bowl mushroom salad capsicum carrot tomato salt olive oil cumin
1641,Chicken Curry,Indian,Non-Veg,chicken noodles ginger onion peas cumin butter turmeric,Chicken Curry chicken noodles ginger onion peas cumin butter turmeric
1642,Chickpeas Noodle bowl,Mediterranean,Veg,chickpeas bread onion carrot garlic chili cumin butter,Chickpeas Noodle bowl chickpeas bread onion carrot garlic chili cumin butter
1643,Potato Fried rice,Mexican,Veg,potato noodles carrot tomato ginger butter pepper chili,Potato Fried rice potato noodles carrot tomato ginger butter pepper chili
1644,Beans Fried rice,Mexican,Veg,beans pasta onion spinach peas soy sauce butter pepper,Beans Fried rice beans pasta onion spinach peas soy sauce butter pepper
1645,Lentils Fried rice,Italian,Veg,lentils salad peas tomato garlic coriander soy sauce butter,Lentils Fried rice lentils salad peas tomato garlic coriander soy sauce butter
1646,Chicken Fried rice,Mediterranean,Non-Veg,chicken soup onion ginger garlic butter cumin turmeric,Chicken Fried rice chicken soup onion ginger garlic butter cumin turmeric
1647,Beans Biryani,Indian,Veg,beans rice carrot tomato spinach soy sauce olive oil turmeric,Beans Biryani beans rice carrot tomato spinach soy sauce olive oil turmeric
1648,Prawn Noodle bowl,Mediterranean,Non-Veg,prawn wrap carrot capsicum spinach cumin olive oil chili,Prawn Noodle bowl prawn wrap carrot capsicum spinach cumin olive oil chili
1649,Chicken Masala,Mexican,Non-Veg,chicken pasta capsicum spinach ginger butter soy sauce cumin,Chicken Masala chicken pasta capsicum spinach ginger butter soy sauce cumin
1650,Egg Soup,Japanese,Non-Veg,egg noodles ginger peas spinach pepper salt turmeric,Egg Soup egg noodles ginger peas spinach pepper salt turmeric
1651,Mutton Pasta bowl,Mexican,Non-Veg,mutton pasta onion carrot spinach coriander soy sauce pepper,Mutton Pasta bowl mutton pasta onion carrot spinach coriander soy sauce pepper
1652,Mutton Curry,American,Non-Veg,mutton salad peas spinach tomato chili butter olive oil,Mutton Curry mutton salad peas spinach tomato chili butter olive oil
1653,Lentils Fried rice,Mexican,Veg,lentils bread tomato onion peas olive oil coriander cumin,Lentils Fried rice lentils bread tomato onion peas olive oil coriander cumin
1654,Egg Masala,Mexican,Non-Veg,egg pasta onion ginger garlic pepper butter olive oil,Egg Masala egg pasta onion ginger garlic pepper butter olive oil
1655,Chicken Masala,Chinese,Non-Veg,chicken rice onion spinach carrot cumin coriander chili,Chicken Masala chicken rice onion spinach carrot cumin coriander chili
1656,Potato Biryani,Mexican,Veg,potato bread carrot spinach tomato turmeric soy sauce butter,Potato Biryani potato bread carrot spinach tomato turmeric soy sauce butter
1657,Paneer Gravy,Mexican,Veg,paneer soup carrot peas spinach butter chili coriander,Paneer Gravy paneer soup carrot peas spinach butter chili coriander
1658,Fish Gravy,Indian,Non-Veg,fish pasta ginger capsicum spinach soy sauce olive oil chili,Fish Gravy fish pasta ginger capsicum spinach soy sauce olive oil chili
1659,Prawn Soup,Indian,Non-Veg,prawn salad carrot garlic tomato cumin turmeric chili,Prawn Soup prawn salad carrot garlic tomato cumin turmeric chili
1660,Chicken Fried rice,American,Non-Veg,chicken wrap peas tomato capsicum butter pepper salt,Chicken Fried rice chicken wrap peas tomato capsicum butter pepper salt
1661,Lentils Gravy,Italian,Veg,lentils noodles peas tomato capsicum turmeric coriander cumin,Lentils Gravy lentils noodles peas tomato capsicum turmeric coriander cumin
1662,Prawn Biryani,Indian,Non-Veg,prawn wrap spinach onion carrot butter salt pepper,Prawn Biryani prawn wrap spinach onion carrot butter salt pepper
1663,Egg Stir fry,Indian,Non-Veg,egg wrap ginger capsicum peas soy sauce coriander butter,Egg Stir fry egg wrap ginger capsicum peas soy sauce coriander butter
1664,Egg Gravy,American,Non-Veg,egg wrap ginger spinach tomato cumin salt soy sauce,Egg Gravy egg wrap ginger spinach tomato cumin salt soy sauce
1665,Fish Pasta bowl,Mexican,Non-Veg,fish soup carrot peas ginger turmeric pepper butter,Fish Pasta bowl fish soup carrot peas ginger turmeric pepper butter
1666,Mushroom Pasta bowl,Indian,Veg,mushroom soup onion capsicum garlic butter cumin pepper,Mushroom Pasta bowl mushroom soup onion capsicum garlic butter cumin pepper
1667,Prawn Noodle bowl,Mediterranean,Non-Veg,prawn wrap carrot garlic peas turmeric salt pepper,Prawn Noodle bowl prawn wrap carrot garlic peas turmeric salt pepper
1668,Fish Biryani,Indian,Non-Veg,fish bread peas garlic ginger soy sauce turmeric coriander,Fish Biryani fish bread peas garlic ginger soy sauce turmeric coriander
1669,Mushroom Pasta bowl,Mexican,Veg,mushroom bread spinach ginger capsicum turmeric chili olive oil,Mushroom Pasta bowl mushroom bread spinach ginger capsicum turmeric chili olive oil
1670,Lentils Noodle bowl,Mexican,Veg,lentils pasta onion carrot ginger soy sauce turmeric coriander,Lentils Noodle bowl lentils pasta onion carrot ginger soy sauce turmeric coriander
1671,Chickpeas Stir fry,Italian,Veg,chickpeas wrap spinach ginger carrot cumin salt olive oil,Chickpeas Stir fry chickpeas wrap spinach ginger carrot cumin salt olive oil
1672,Mutton Pasta bowl,Indian,Non-Veg,mutton soup capsicum spinach garlic olive oil cumin salt,Mutton Pasta bowl mutton soup capsicum spinach garlic olive oil cumin salt
1673,Prawn Pasta bowl,Japanese,Non-Veg,prawn salad capsicum tomato onion butter cumin olive oil,Prawn Pasta bowl prawn salad capsicum tomato onion butter cumin olive oil
1674,Fish Biryani,Italian,Non-Veg,fish bread peas tomato capsicum pepper butter coriander,Fish Biryani fish bread peas tomato capsicum pepper butter coriander
1675,Potato Biryani,Indian,Veg,potato pasta ginger onion carrot pepper chili butter,Potato Biryani potato pasta ginger onion carrot pepper chili butter
1676,Potato Biryani,Mexican,Veg,potato bread tomato carrot capsicum soy sauce cumin butter,Potato Biryani potato bread tomato carrot capsicum soy sauce cumin butter
1677,Mutton Stir fry,Japanese,Non-Veg,mutton salad peas onion garlic chili salt pepper,Mutton Stir fry mutton salad peas onion garlic chili salt pepper
1678,Mushroom Biryani,Chinese,Veg,mushroom rice peas spinach ginger olive oil soy sauce cumin,Mushroom Biryani mushroom rice peas spinach ginger olive oil soy sauce cumin
1679,Prawn Stir fry,Chinese,Non-Veg,prawn pasta tomato capsicum garlic turmeric coriander cumin,Prawn Stir fry prawn pasta tomato capsicum garlic turmeric coriander cumin
1680,Tofu Masala,Indian,Veg,tofu rice garlic onion tomato butter pepper olive oil,Tofu Masala tofu rice garlic onion tomato butter pepper olive oil
1681,Paneer Masala,Mediterranean,Veg,paneer soup tomato ginger capsicum olive oil pepper chili,Paneer Masala paneer soup tomato ginger capsicum olive oil pepper chili
1682,Chickpeas Curry,Mediterranean,Veg,chickpeas noodles spinach tomato onion cumin soy sauce butter,Chickpeas Curry chickpeas noodles spinach tomato onion cumin soy sauce butter
1683,Tofu Stir fry,Mediterranean,Veg,tofu bread garlic spinach ginger butter coriander pepper,Tofu Stir fry tofu bread garlic spinach ginger butter coriander pepper
1684,Prawn Noodle bowl,Chinese,Non-Veg,prawn bread garlic peas capsicum cumin olive oil butter,Prawn Noodle bowl prawn bread garlic peas capsicum cumin olive oil butter
1685,Mutton Gravy,Chinese,Non-Veg,mutton soup peas garlic onion salt turmeric coriander,Mutton Gravy mutton soup peas garlic onion salt turmeric coriander
1686,Lentils Soup,Italian,Veg,lentils salad garlic onion ginger coriander chili cumin,Lentils Soup lentils salad garlic onion ginger coriander chili cumin
1687,Potato Noodle bowl,American,Veg,potato soup onion tomato carrot cumin butter pepper,Potato Noodle bowl potato soup onion tomato carrot cumin butter pepper
1688,Tofu Masala,American,Veg,tofu wrap spinach peas tomato turmeric olive oil butter,Tofu Masala tofu wrap spinach peas tomato turmeric olive oil butter
1689,Prawn Pasta bowl,Japanese,Non-Veg,prawn bread carrot tomato onion olive oil coriander pepper,Prawn Pasta bowl prawn bread carrot tomato onion olive oil coriander pepper
1690,Egg Noodle bowl,Japanese,Non-Veg,egg bread carrot spinach onion salt olive oil pepper,Egg Noodle bowl egg bread carrot spinach onion salt olive oil pepper
1691,Beans Biryani,Italian,Veg,beans rice carrot ginger spinach cumin soy sauce turmeric,Beans Biryani beans rice carrot ginger spinach cumin soy sauce turmeric
1692,Egg Biryani,Chinese,Non-Veg,egg soup peas tomato garlic chili cumin coriander,Egg Biryani egg soup peas tomato garlic chili cumin coriander
1693,Chicken Soup,Mediterranean,Non-Veg,chicken wrap ginger tomato spinach coriander pepper salt,Chicken Soup chicken wrap ginger tomato spinach coriander pepper salt
1694,Lentils Biryani,Mexican,Veg,lentils noodles ginger peas tomato turmeric chili pepper,Lentils Biryani lentils noodles ginger peas tomato turmeric chili pepper
1695,Chickpeas Gravy,Italian,Veg,chickpeas wrap tomato ginger onion chili turmeric olive oil,Chickpeas Gravy chickpeas wrap tomato ginger onion chili turmeric olive oil
1696,Mutton Gravy,Indian,Non-Veg,mutton soup tomato onion peas coriander turmeric chili,Mutton Gravy mutton soup tomato onion peas coriander turmeric chili
1697,Beans Masala,Indian,Veg,beans noodles peas capsicum onion butter cumin soy sauce,Beans Masala beans noodles peas capsicum onion butter cumin soy sauce
